Schema updated: 48 columns ready
Reportes a procesar: 376
Modelo: gpt-4o-mini
Costo estimado: ~$0.38 USD

[1/376] whizz-kids-sroi-march-2011 → ratio=10 | sector=discapacidad | país=UK | conf=media
[58/376] evaluation-of-sroi-created-through-gentoo-living-older- → ratio=None | sector=personas_mayores | país=UK | conf=alta
[59/376] nottingham-city-homes-decent-homes-impact-study → ratio=None | sector=vivienda | país=UK | conf=alta
[60/376] sroi-evaluation-of-supported-apprenticeship-programme → ratio=None | sector=empleo | país=UK | conf=alta
[61/376] auchinleck-community-development-initiative-sroi-foreca → ratio=3.0 | sector=medio_ambiente | país=UK | conf=alta
[62/376] new-barracks-estate-retrofit-post-retrofit-evaluative-s → ratio=1.58 | sector=vivienda | país=UK | conf=alta
[63/376] nef-investing-for-social-value → ratio=None | sector=None | país=UK | conf=media
[64/376] the-value-of-business-involvement-in-youth-development → ratio=0.83 | sector=infancia_juventud | país=Sudáfrica | conf=alta
[65/376] lawnmowers-independent-theatre-company-sroi → ratio=4.25 | sector=discapacidad | país=UK | conf=alta
[66/376] dame-kelly-holmes-trust-impact-report-201314 → ratio=None | sector=inclusion_social | país=UK | conf=alta
[67/376] institute-of-advanced-motorists-social-impact-evaluatio → ratio=None | sector=seguridad_vial | país=UK | conf=alta
[68/376] greenspace-scotland-sroi-of-the-greenlink → ratio=None | sector=medio_ambiente | país=Scotland | conf=alta
[69/376] berkshire-association-of-clubs-for-young-people-sroi-ev → ratio=None | sector=infancia_juventud | país=UK | conf=alta
[70/376] pachamama-coffee-co-op → ratio=None | sector=agricultura | país=USA | conf=media
[71/376] real-jobs-sroi-evaluation → ratio=None | sector=empleo | país=UK | conf=alta
[72/376] catalysts-for-community-action-and-investment-sroi → ratio=2.16 | sector=inclusion_social | país=UK | conf=alta
[73/376] the-cedar-foundation-community-inclusion-programmes-sro → ratio=3.19 | sector=inclusion_social | país=UK | conf=alta
[74/376] gorgie-city-farm-community-gardening-project-sroi → ratio=3.56 | sector=medio_ambiente | país=UK | conf=alta
[75/376] the-value-of-hamelin-trusts-roots-and-shoots-sroi → ratio=None | sector=discapacidad | país=UK | conf=None
[76/376] the-breadmaker-sroi → ratio=None | sector=discapacidad | país=UK | conf=alta
[77/376] kesho-organisation-secondary-school-programme-sroi → ratio=None | sector=educacion | país=Kenya | conf=alta
[78/376] fifteen-sroi → ratio=9.5 | sector=empleo | país=UK | conf=alta
[79/376] families-and-schools-together-sroi-case-study → ratio=None | sector=infancia_juventud | país=Canada | conf=media
[80/376] beltline-youth-centre-sroi-case-study → ratio=None | sector=infancia_juventud | país=Canada | conf=media
[81/376] youth-matters-program-sroi-case-study → ratio=11.72 | sector=infancia_juventud | país=Canada | conf=baja
[82/376] ywca-mary-dover-house-sroi-case-study → ratio=2.7 | sector=vivienda | país=Canada | conf=media
[83/376] louise-dean-centre-programming-for-pregnant-and-parenti → ratio=None | sector=educacion | país=Canada | conf=alta
[84/376] discovery-house-child-and-youth-services-sroi-case-stud → ratio=11.37 | sector=infancia_juventud | país=Canada | conf=alta
[85/376] family-diversionary-program-sroi-case-study → ratio=10.0 | sector=infancia_juventud | país=Canada | conf=alta
[86/376] community-respite-program-sroi-case-study → ratio=None | sector=infancia_juventud | país=Canada | conf=media
[87/376] measuring-the-social-impact-of-the-tomorrows-people-wel → ratio=None | sector=empleo | país=UK | conf=media
[88/376] pubs-and-places-the-social-value-of-community-pubs → ratio=None | sector=inclusion_social | país=UK | conf=media
[89/376] calgary-youth-justice-committee-program-sroi-case-study → ratio=5.52 | sector=justicia | país=Canada | conf=media
[90/376] calgary-senior-resource-society-sroi-case-study → ratio=None | sector=personas_mayores | país=Canada | conf=media
[91/376] cost-benefit-analysis-of-interventions-with-parents → ratio=None | sector=infancia_juventud | país=UK | conf=alta
[92/376] communities-and-local-government-supporting-people-prog → ratio=None | sector=vivienda | país=UK | conf=baja
[93/376] sroi-analysis-of-the-housing-coordinator-project → ratio=None | sector=vivienda | país=Canada | conf=alta
[94/376] the-economic-and-social-costs-of-crime → ratio=None | sector=justicia | país=UK | conf=baja
[95/376] making-services-better-costs-and-benefits-of-the-young- → ratio=None | sector=infancia_juventud | país=UK | conf=media
[96/376] pwc-economic-cost-of-underachievement → ratio=None | sector=educacion | país=UK | conf=media
[97/376] a-fare-return-ensuring-the-uks-railways-deliver-true-va → ratio=None | sector=otro | país=UK | conf=None
[98/376] nef-degrees-of-value-how-universities-benefit-society → ratio=None | sector=educacion | país=UK | conf=alta
[99/376] growing-social-capital-sroi-analysis → ratio=None | sector=inclusion_social | país=UK | conf=media
[100/376] cost-benefit-analysis-of-early-childhood-intervention → ratio=None | sector=infancia_juventud | país=Alemania | conf=alta
[101/376] alliance-of-sector-skills-councils-evaluating-economic- → ratio=None | sector=empleo | país=UK | conf=media
[102/376] alana-house-sroi → ratio=2.66 | sector=justicia | país=UK | conf=alta
[103/376] hact-the-social-impact-of-housing-providers → ratio=None | sector=vivienda | país=UK | conf=None
[104/376] social-return-on-investment-developing-power → ratio=3.2 | sector=medio_ambiente | país=Brasil | conf=media
[105/376] pact-witney-childrens-centre-sroi-evaluation → ratio=None | sector=infancia_juventud | país=UK | conf=media
[106/376] investing-in-natural-capital-a-financial-assessment-of- → ratio=8.83 | sector=medio_ambiente | país=India | conf=alta
[107/376] capturing-the-outcomes-of-hub-mueseums-sustainability-a → ratio=None | sector=medio_ambiente | país=UK | conf=alta
[108/376] sitra-the-costs-and-benefits-of-housing-related-support → ratio=None | sector=vivienda | país=UK | conf=alta
[109/376] the-social-value-of-community-housing-in-australia → ratio=None | sector=vivienda | país=Australia | conf=media
[110/376] the-michael-project-2007-2010-new-perspectives-and-poss → ratio=None | sector=inclusion_social | país=Australia | conf=alta
[111/376] young-foundation-outcomes-framework-for-young-peoples-s → ratio=None | sector=infancia_juventud | país=UK | conf=alta
[112/376] st-giles-trust-an-analysis-of-economic-impact → ratio=10.0 | sector=justicia | país=UK | conf=alta
[113/376] microeconomic-evidence-for-the-benefits-of-investment-i → ratio=None | sector=medio_ambiente | país=UK | conf=alta
[114/376] youth-justice-cost-benefit-analysis → ratio=10.24 | sector=infancia_juventud | país=UK | conf=alta
[115/376] investing-in-children-technical-report-april-2012 → ratio=None | sector=infancia_juventud | país=UK | conf=alta
[116/376] care-repair-programme-irish-lifeage-action → ratio=None | sector=personas_mayores | país=Irlanda | conf=alta
[117/376] costs-benefits-of-early-years-and-education → ratio=23.0 | sector=educacion | país=UK | conf=media
[118/376] the-outcomes-and-values-of-souls-advanced-sroi-training → ratio=1.05 | sector=educacion | país=Suecia | conf=alta
[119/376] the-bridge-project-western-australia-sroi-forecast → ratio=None | sector=justicia | país=Australia | conf=alta
[120/376] scottish-chamber-orchestraa-pilot-primary-school-reside → ratio=None | sector=educacion | país=UK | conf=None
[121/376] sroi-forecast-of-phase-1-of-the-vineburgh-development → ratio=None | sector=vivienda | país=UK | conf=alta
[122/376] create-potential-academy-sroi → ratio=None | sector=empleo | país=UK | conf=media
[123/376] crein-sroi-analysis → ratio=None | sector=vivienda | país=None | conf=alta
[124/376] action-for-children-impact-report-2012 → ratio=None | sector=inclusion_social | país=Scotland | conf=alta
[125/376] making-our-communities-better-places → ratio=3.25 | sector=vivienda | país=Escocia | conf=alta
[126/376] making-an-impact-a-sroi-study-of-emmaus-uk → ratio=None | sector=None | país=UK | conf=None
[127/376] coui-teens-and-toddlers-programme → ratio=5.52 | sector=infancia_juventud | país=UK | conf=alta
[128/376] the-value-of-early-intervention-identifying-the-social- → ratio=None | sector=infancia_juventud | país=UK | conf=alta
[129/376] work-related-learning-programme-run-by-action-for-kids- → ratio=5.47 | sector=discapacidad | país=UK | conf=alta
[130/376] daycare-trust-parent-champions-liverpool-prototype-proj → ratio=None | sector=infancia_juventud | país=UK | conf=None
[131/376] national-association-of-independent-and-non-maintained- → ratio=None | sector=educacion | país=UK | conf=None
[132/376] shelter-scotland-more-than-housing → ratio=None | sector=vivienda | país=UK | conf=alta
[133/376] galveston-sroi-case-studies → ratio=None | sector=medio_ambiente | país=USA | conf=alta
[134/376] sroi-evaluative-analysis-of-introduction-to-supported-e → ratio=None | sector=empleo | país=Canada | conf=media
[135/376] measuring-social-return-on-investment-for-community-sch → ratio=None | sector=educacion | país=USA | conf=media
[136/376] worth-every-penny-of-every-pound-the-social-value-of-eq → ratio=None | sector=inclusion_social | país=UK | conf=media
[137/376] social-return-on-investment-sroi-of-substance-misuse-wo → ratio=None | sector=justicia | país=UK | conf=None
[138/376] grounded-a-new-approach-to-evaluating-runway-3 → ratio=None | sector=medio_ambiente | país=UK | conf=alta
[139/376] action-for-children-impact-report-2013 → ratio=None | sector=infancia_juventud | país=UK | conf=alta
[140/376] galveston-sustainable-return-on-investment → ratio=None | sector=medio_ambiente | país=USA | conf=media
[141/376] social-return-on-investment-forecast-foresters-communit → ratio=2.07 | sector=microfinanzas | país=Australia | conf=alta
[142/376] demonstrating-value-a-final-report-on-the-community-sec → ratio=None | sector=None | país=Canada | conf=None
[143/376] african-australian-inclusion-program-aaip-summary → ratio=6.24 | sector=inclusion_social | país=Australia | conf=alta
[144/376] twenty-twenty-social-return-on-investment → ratio=None | sector=educacion | país=UK | conf=alta
[145/376] palestyle-forecast-sroi-report → ratio=None | sector=empleo | país=Jordan | conf=alta
[146/376] sroi-on-quality-checkers-skills-for-people → ratio=None | sector=discapacidad | país=UK | conf=alta
[147/376] sroi-analysis-of-the-plusone-mentoring-programme-execut → ratio=7.0 | sector=infancia_juventud | país=UK | conf=alta
[148/376] sroi-on-dial-a-community-bus-shopping-service → ratio=3.03 | sector=inclusion_social | país=UK | conf=media
[149/376] atira-property-management-inc-social-return-on-investme → ratio=None | sector=empleo | país=Canada | conf=alta
[150/376] vienna-universtiy-of-economics-and-business-the-good-wo → ratio=0.98 | sector=empleo | país=Austria | conf=alta
[151/376] vienna-university-of-economics-and-business-footprints- → ratio=2.44 | sector=inclusion_social | país=Austria | conf=media
[152/376] vienna-university-of-economics-and-business-fire-brigad → ratio=10.2 | sector=medio_ambiente | país=Austria | conf=media
[153/376] bookstart-investing-in-the-future-of-our-children-execu → ratio=25.0 | sector=infancia_juventud | país=UK | conf=alta
[154/376] vienna-university-of-economics-and-business-donate-your → ratio=0.97 | sector=inclusion_social | país=Austria | conf=media
[155/376] social-return-on-investment-of-citizens-advice-direct → ratio=None | sector=inclusion_social | país=Scotland | conf=media
[156/376] vienna-univeristy-of-economics-and-business-miteinander → ratio=2.26 | sector=vivienda | país=Austria | conf=alta
[157/376] vienna-university-of-economics-and-business-initial-hou → ratio=4.41 | sector=vivienda | país=Austria | conf=media
[158/376] foodbank-hunger-report-2014 → ratio=None | sector=inclusion_social | país=Australia | conf=alta
[159/376] literacy-buddies-program-ardoch-youth-foundation → ratio=None | sector=educacion | país=Australia | conf=alta
[160/376] double-impact-citywide-services-in-nottingham-for-peopl → ratio=None | sector=salud | país=UK | conf=media
[161/376] daisyhouse-transitional-housing-service-2009-2011 → ratio=None | sector=vivienda | país=Ireland | conf=None
[162/376] off-centre-social-return-on-investment → ratio=None | sector=infancia_juventud | país=UK | conf=None
[163/376] placing-a-value-on-work → ratio=4.12 | sector=empleo | país=UK | conf=alta
[164/376] the-economic-and-social-return-of-action-for-childrens- → ratio=None | sector=infancia_juventud | país=UK | conf=baja
[165/376] first-steps-housing-project-inc-final-sroi-and-evaluati → ratio=6.0 | sector=vivienda | país=Canada | conf=media
[166/376] a-social-return-on-investment-analysis-of-the-m-pact-mo → ratio=None | sector=infancia_juventud | país=UK | conf=alta
[167/376] manchester-sport-and-leisure-trust-december-2013-headli → ratio=None | sector=salud | país=UK | conf=media
[168/376] women-moving-forward-sroi-case-study → ratio=None | sector=inclusion_social | país=Canada | conf=media
[169/376] talensi-farmer-managed-natural-regeneration-project-gha → ratio=None | sector=medio_ambiente | país=Ghana | conf=baja
[170/376] social-benefit-analysis-of-hotel-training-centres-room- → ratio=487.48 | sector=empleo | país=USA | conf=alta
[171/376] manchester-sport-and-leisure-trust-december-2013-full-r → ratio=None | sector=deporte | país=UK | conf=alta
[172/376] healthy-empowered-resilient-h-e-r-pregnancy-program → ratio=8.24 | sector=salud | país=Canada | conf=alta
[173/376] low-income-monthly-transit-pass-sroi-case-study → ratio=12.25 | sector=inclusion_social | país=Canada | conf=media
[174/376] the-value-added-for-families-before-and-after-using-sol → ratio=None | sector=salud | país=Kenya | conf=media
[175/376] donbac-limited-social-return-on-investment-study → ratio=None | sector=microfinanzas | país=UK | conf=alta
[176/376] acta-sroi-report → ratio=None | sector=arte_cultura | país=UK | conf=alta
[177/376] the-economic-and-social-return-of-action-for-childrens- → ratio=None | sector=infancia_juventud | país=UK | conf=alta
[178/376] measuring-the-impact-of-the-stepup-loan-program → ratio=None | sector=microfinanzas | país=Australia | conf=media
[179/376] social-return-on-investment-forecast-of-the-indigenous- → ratio=None | sector=microfinanzas | país=Australia | conf=None
[180/376] social-valuation-of-refuge-services-for-survivors-of-do → ratio=None | sector=vivienda | país=UK | conf=alta
[181/376] brendoncare-clubs-social-return-on-investment-pilot-rep → ratio=2.1 | sector=personas_mayores | país=UK | conf=alta
[182/376] introduction-to-supported-employment-2009-2010-sroi-cas → ratio=None | sector=discapacidad | país=Canada | conf=alta
[183/376] odysseus-mentoring-project-a-summary-appraisal-of-socia → ratio=3.97 | sector=infancia_juventud | país=UK | conf=alta
[184/376] social-impact-analysis-for-sewa-day-on-6-october-2013 → ratio=4.7 | sector=inclusion_social | país=UK | conf=alta
[185/376] auckland-council-retrofit-your-home-financial-support-p → ratio=None | sector=vivienda | país=Nueva Zelanda | conf=alta
[186/376] the-social-return-on-investment-of-food-for-life-school → ratio=None | sector=salud | país=UK | conf=None
[187/376] cockpit-arts-sroi-evaluation-of-the-business-growth-loa → ratio=None | sector=arte_cultura | país=UK | conf=alta
[188/376] social-leisure-youth-program-sroi-case-study → ratio=7.23 | sector=inclusion_social | país=Canada | conf=alta
[189/376] the-outward-bound-trust-social-impact-report-2014 → ratio=None | sector=educacion | país=UK | conf=alta
[190/376] foodcycle-social-impact-report-2014 → ratio=None | sector=inclusion_social | país=UK | conf=alta
[191/376] accountability-lab-impact-report-2013 → ratio=None | sector=otro | país=Liberia, Nepal | conf=alta
[192/376] building-a-qualilty-part-time-jobs-market-a-transformat → ratio=None | sector=empleo | país=UK | conf=media
[193/376] the-landmarc-difference → ratio=None | sector=medio_ambiente | país=UK | conf=alta
[194/376] water-for-life-collaborations-for-the-public-good → ratio=None | sector=medio_ambiente | país=India | conf=baja
[195/376] hct-grounp-impact-report-201112-changing-environment-ch → ratio=None | sector=inclusion_social | país=UK | conf=media
[196/376] futurefirst-annual-review-201213 → ratio=None | sector=educacion | país=UK | conf=alta
[197/376] getting-together-the-impact-of-local-gingerbread-groups → ratio=None | sector=inclusion_social | país=UK | conf=alta
[198/376] send-a-cow-our-impact → ratio=None | sector=agricultura | país=Uganda y Kenya | conf=media
[199/376] co-operatives-uk-our-impact-in-2013 → ratio=None | sector=otro | país=UK | conf=alta
[200/376] five-lamps-social-impact-report-april-2013-march-2014 → ratio=None | sector=inclusion_social | país=UK | conf=alta
[201/376] achievement-for-all-impact-report-201314 → ratio=None | sector=educacion | país=UK | conf=media
[202/376] the-outward-bound-trust-impact-report-2009 → ratio=None | sector=infancia_juventud | país=UK | conf=media
[203/376] community-investment-by-social-housing-organisations-me → ratio=None | sector=None | país=None | conf=None
[204/376] cornerstone-partnership-social-impact-report → ratio=None | sector=vivienda | país=USA | conf=media
[205/376] unitytrust-bank-our-social-lending-impact-2013 → ratio=None | sector=inclusion_social | país=UK | conf=alta
[206/376] arc-impact-report-autumn-2014 → ratio=None | sector=empleo | país=UK | conf=alta
[207/376] skillforce-social-impact-report-2013 → ratio=None | sector=educacion | país=UK | conf=media
[208/376] solaraid-impact-report-2014 → ratio=None | sector=medio_ambiente | país=Zambia | conf=alta
[209/376] harrogate-ripon-centres-of-voluntary-service-impact-rep → ratio=None | sector=inclusion_social | país=UK | conf=alta
[210/376] golden-lane-housing-social-impact-report-2014 → ratio=None | sector=vivienda | país=UK | conf=alta
[211/376] impact-of-wea-adult-education-2014 → ratio=None | sector=educacion | país=UK | conf=media
[212/376] unlocking-the-power-together-fairtrade-annual-impact-re → ratio=None | sector=agricultura | país=UK | conf=media
[213/376] cambodia-impact-report → ratio=None | sector=None | país=Cambodia | conf=media
[214/376] exeter-cvs-impact-report-2013-2014 → ratio=None | sector=inclusion_social | país=UK | conf=media
[215/376] national-youth-agency-nya-impact-report-2014 → ratio=None | sector=infancia_juventud | país=UK | conf=media
[216/376] co-operatives-uk-impact-report-2014 → ratio=None | sector=otro | país=UK | conf=media
[217/376] priced-out-the-plight-of-low-income-families-and-young- → ratio=None | sector=infancia_juventud | país=UK | conf=media
[218/376] every-night-you-cry-the-realities-of-having-a-parent-in → ratio=None | sector=infancia_juventud | país=UK | conf=alta
[219/376] hct-group-impact-report-2014-national-vision-local-impa → ratio=None | sector=discapacidad | país=UK | conf=media
[220/376] reminiscence-arts-and-dementia-care-impact-on-quality-o → ratio=None | sector=salud | país=UK | conf=media
[221/376] victim-support-impact-report-201314 → ratio=None | sector=justicia | país=UK | conf=alta
[222/376] the-downtown-outreach-addiction-partnership-team-doap-p → ratio=9.43 | sector=salud | país=Canada | conf=alta
[223/376] the-evaluation-of-the-community-support-for-offenders-f → ratio=None | sector=justicia | país=UK | conf=media
[224/376] night-shelter-impact-report-201314 → ratio=None | sector=vivienda | país=UK | conf=alta
[225/376] crisis-impact-report-2013-2014 → ratio=None | sector=inclusion_social | país=UK | conf=alta
[226/376] shaw-trust-making-a-difference-our-year-in-review-2013- → ratio=None | sector=empleo | país=UK | conf=alta
[227/376] helping-more-people-shelter-impact-report-201213 → ratio=None | sector=vivienda | país=UK | conf=alta
[228/376] keys-to-the-future-an-independent-evaluation-of-shelter → ratio=None | sector=infancia_juventud | país=UK | conf=alta
[229/376] keys-to-the-future-an-independent-evaluation-of-shelter → ratio=None | sector=infancia_juventud | país=UK | conf=alta
[230/376] wales-council-for-voluntary-action-impact-report-2013-1 → ratio=None | sector=inclusion_social | país=UK | conf=None
[231/376] refugee-council-impact-report-2012-2013 → ratio=None | sector=inclusion_social | país=UK | conf=media
[232/376] refugee-council-impact-report-2013-2014 → ratio=None | sector=inclusion_social | país=UK | conf=alta
[233/376] cab-volunteering-how-everyone-benefits-the-value-of-cab → ratio=None | sector=inclusion_social | país=UK | conf=alta
[234/376] citizens-advice-bureau-our-impact-on-consumer-choices → ratio=None | sector=otro | país=UK | conf=alta
[235/376] the-national-autistic-society-impact-report-2014 → ratio=None | sector=discapacidad | país=UK | conf=alta
[236/376] national-energy-action-annual-impact-report-2013-2014 → ratio=None | sector=vivienda | país=UK | conf=alta
[237/376] lem-report-3-measuring-museum-impacts → ratio=None | sector=arte_cultura | país=Europa | conf=alta
[238/376] quick-reads-impact-evaluation-report-2012-13 → ratio=None | sector=educacion | país=UK | conf=alta
[239/376] fields-in-trust-impact-report-2013 → ratio=None | sector=medio_ambiente | país=UK | conf=media
[240/376] quids-in-the-impact-of-financial-skills-training-for-so → ratio=None | sector=inclusion_social | país=UK | conf=alta
[241/376] well-meet-again-dont-know-where-dont-know-when-supporti → ratio=None | sector=personas_mayores | país=UK | conf=media
[242/376] caring-dads-safer-children-interim-evaluation-report → ratio=None | sector=infancia_juventud | país=UK | conf=alta
[243/376] baby-steps-evidence-from-a-relationships-based-perinata → ratio=None | sector=infancia_juventud | país=UK | conf=alta
[244/376] helping-parents-cope-with-babies-crying-evaluation-of-a → ratio=None | sector=infancia_juventud | país=UK | conf=alta
[245/376] turn-the-page-learning-from-a-manualised-approach-to-tr → ratio=None | sector=infancia_juventud | país=UK | conf=alta
[246/376] contact-the-elderly-impact-report-201213 → ratio=None | sector=personas_mayores | país=UK | conf=alta
[247/376] case-kent-impact-report-2014 → ratio=10.0 | sector=otro | país=UK | conf=alta
[248/376] give-gain-day-2013-wales-impact-report → ratio=None | sector=inclusion_social | país=UK | conf=alta
[249/376] one-year-on-the-impact-of-our-2012-accelerator-course → ratio=None | sector=educacion | país=UK | conf=media
[250/376] measuring-the-difference-the-economic-and-social-impact → ratio=None | sector=None | país=UK | conf=media
[251/376] the-impact-of-universities-on-the-uk-economy → ratio=None | sector=educacion | país=UK | conf=alta
[252/376] social-return-on-investment-for-the-vineburgh-regenerat → ratio=None | sector=vivienda | país=UK | conf=alta
[253/376] onside-youth-zones-defining-the-impact-of-a-youth-zone → ratio=None | sector=infancia_juventud | país=UK | conf=alta
[254/376] transforming-lives-the-social-return-on-habitats-work-i → ratio=4.0 | sector=vivienda | país=Canada | conf=alta
[255/376] crest-co-operatives-social-impact-report-201415 → ratio=None | sector=empleo | país=UK | conf=alta
[256/376] measuring-the-impact-of-community-mobilisers → ratio=None | sector=otro | país=UK | conf=None
[257/376] medicine-hat-family-services-new-ways-for-families-nwff → ratio=7.4 | sector=infancia_juventud | país=Canada | conf=media
[258/376] measuring-tourisms-impact-a-pilot-study-in-cyprus → ratio=None | sector=medio_ambiente | país=Cyprus | conf=alta
[259/376] hct-group-impact-report-2015 → ratio=None | sector=inclusion_social | país=UK | conf=media
[260/376] shedherds-bush-housing-group-consolidated-impact-report → ratio=None | sector=vivienda | país=UK | conf=None
[261/376] rural-womens-gathering → ratio=2.2 | sector=inclusion_social | país=Australia | conf=alta
[262/376] microvest-social-impact-report-2015 → ratio=None | sector=microfinanzas | país=None | conf=alta
[263/376] sroi-of-jobs-at-home-for-thrive-homes-watford-community → ratio=2.58 | sector=empleo | país=UK | conf=media
