id,titulo,organizacion,tipo_org,sector,subsector,pais_contexto,año,idioma,tipo_documento,nivel_toc,url,url_pdf,descripcion,palabras_clave,estado_descarga
11,Developing a Theory of Change,Plan A Advisors,Consultoría,Metodologia,Sector social,USA,2023,EN,Guía,Marco general,https://www.planaadvisors.com/static/PlanA-TheoryofChange2023.pdf,https://www.planaadvisors.com/static/PlanA-TheoryofChange2023.pdf,Guía 2023 sobre desarrollo de ToC. La define como tesis sobre cómo una estrategia puede lograr impacto medible en un desafío social o ambiental.,"theory of change, impact, social challenge, 2023, strategy",pendiente
12,Theory of Change Tool: Manual (Full Version),Issuelab / ActKnowledge,Red de conocimiento,Metodologia,Desarrollo comunitario,USA,2010,EN,Manual técnico,Marco general,https://www.issuelab.org/resources/16171/16171.pdf,https://www.issuelab.org/resources/16171/16171.pdf,Manual técnico completo de ActKnowledge para construir ToC. Incluye herramienta TOCO online y múltiples ejemplos.,"theory of change, TOCO, ActKnowledge, manual, community",pendiente
13,UNDP Portfolio Theory of Change,UNDP,ONU,Metodologia,Planificación programática,Global,2023,EN,Guía institucional,Marco general,https://popp.undp.org/document/portfolio-theory-change,,Guía UNDP sobre ToC a nivel de portafolio. Diferencia entre ToC de proyecto individual y ToC de portafolio de intervenciones complementarias.,"theory of change, portfolio, UNDP, programme",pendiente
14,UNICEF Theory of Change — Strategic Plan 2022-2025,UNICEF,ONU,Desarrollo Internacional,Infancia y desarrollo humano,Global,2022,EN,Documento estratégico,Institucional / organizacional,"https://www.unicef.org/media/107936/file/Theory_of_Change,_UNICEF_Strategic_Plan,_2022%E2%80%932025.pdf","https://www.unicef.org/media/107936/file/Theory_of_Change,_UNICEF_Strategic_Plan,_2022%E2%80%932025.pdf","ToC del Plan Estratégico de UNICEF 2022-2025. Cubre supervivencia, aprendizaje, protección, agua/saneamiento, participación y respuesta humanitaria.","UNICEF, strategic plan, children, development, institutional ToC",pendiente
15,UNICEF Theory of Change — Strategic Plan 2026-2029,UNICEF,ONU,Desarrollo Internacional,Infancia y desarrollo humano,Global,2025,EN,Documento estratégico,Institucional / organizacional,https://www.unicef.org/executiveboard/media/33126/file/2025-EB10-Strategic-Plan-2026-2029-Theory-of-change-EN-2025-08-15.pdf,https://www.unicef.org/executiveboard/media/33126/file/2025-EB10-Strategic-Plan-2026-2029-Theory-of-change-EN-2025-08-15.pdf,ToC más reciente de UNICEF para el Plan Estratégico 2026-2029. Incluye actualización post-COVID y énfasis en resiliencia.,"UNICEF, strategic plan 2026, children, resilience, humanitarian",pendiente
16,UNICEF Global Programme Phase II Theory of Change,UNICEF,ONU,Desarrollo Internacional,Infancia y protección,Global,2023,EN,Documento de programa,Programa específico,https://www.unicef.org/documents/global-programme-phase-ii-theory-change,,ToC de la Fase II del Programa Global de UNICEF. Detalla cómo las intervenciones programáticas conectan con el cambio sistémico.,"UNICEF, global programme, child protection, systems change",pendiente
17,Gates Foundation Strategy Lifecycle Guide,Bill & Melinda Gates Foundation,Fundación,Metodologia,Filantropía / Salud global,Global,2011,EN,Guía estratégica,Marco general,https://docs.gatesfoundation.org/documents/the%20strategy%20lifecycle.pdf,https://docs.gatesfoundation.org/documents/the%20strategy%20lifecycle.pdf,"Guía interna de Gates Foundation sobre ciclo de estrategia. Define ToC como conjunto de supuestos sobre cómo el cambio puede producirse para abordar problemas que afectan individuos, grupos y sistemas.","Gates Foundation, strategy, theory of change, philanthropy, lifecycle",pendiente
18,Gates Foundation FSP (Financial Services for the Poor) Strategy Overview,Bill & Melinda Gates Foundation,Fundación,Inclusion financiera,Servicios financieros para pobres,Global - Africa/Asia,2012,EN,Resumen estratégico,Programa específico,https://docs.gatesfoundation.org/Documents/fsp-strategy-overview.pdf,https://docs.gatesfoundation.org/Documents/fsp-strategy-overview.pdf,Resumen de estrategia de Servicios Financieros para Pobres de Gates Foundation. Incluye ToC explícita sobre inclusión financiera y reducción de pobreza.,"Gates Foundation, financial inclusion, poverty, FSP strategy",pendiente
19,Theory of Change para Teoría del Programa — Evaluación para el Desarrollo,ODAID,ONG / Capacitación,Metodologia,Evaluación de programas,América Latina,2021,ES,Guía en español,Marco general,https://www.odaid.org/wp-content/uploads/2021/02/TeoriadelCambio.pdf,https://www.odaid.org/wp-content/uploads/2021/02/TeoriadelCambio.pdf,Guía en español sobre ToC para gerentes de programas en América Latina. Conecta teoría del programa con evaluación de desarrollo.,"teoría de cambio, evaluación, programa social, América Latina, gerentes",pendiente
20,Teoría de Cambio — Guía para pensamiento-acción,Hivos / Retolaza Ospina,ONG Internacional / Think tank,Metodologia,Innovación social,América Latina / España,2009,ES,Guía metodológica,Marco general,https://dhls.hegoa.ehu.eus/uploads/resources/5020/resource_files/Guia_Teoria_de_Cambio__Retolaza__2009_.pdf,https://dhls.hegoa.ehu.eus/uploads/resources/5020/resource_files/Guia_Teoria_de_Cambio__Retolaza__2009_.pdf,La guía más citada en español sobre ToC. Iñigo Retolaza desarrolla el enfoque Hivos de ToC como brújula para navegar en la complejidad. Incluye dimensiones sociales y políticas del cambio.,"teoría del cambio, Retolaza, Hivos, complejidad, cambio social, español",pendiente
21,Teoría de Cambio — Una brújula 2.0,Ateneu Cooperatiu / Hivos,ONG,Metodologia,Cooperativismo / Innovación social,España,2018,ES,Guía actualizada,Marco general,http://ateneucoopbll.cat/wp-content/uploads/2018/04/Teoría-de-Cambio-una-brujula-2.0.pdf,http://ateneucoopbll.cat/wp-content/uploads/2018/04/Teoría-de-Cambio-una-brujula-2.0.pdf,Versión actualizada de la guía de ToC como brújula. Adaptación para contexto de cooperativismo e innovación social en España.,"teoría del cambio, brújula, cooperativismo, innovación social, España",pendiente
22,Teoría del Cambio: 10 Pasos para Diseñar Proyectos de Innovación Social,Escuela de Gestión Pública — Universidad del Pacífico,Universidad,Metodologia,Gestión pública / Innovación social,Perú,2019,ES,Guía académica,Marco general,https://www.up.edu.pe/egp/programas-especializacion_copy(1)/SiteAssets/Lists/Observatorio/AllItems/Teori%CC%81a%20del%20Cambio%2010%20Pasos%20Disen%CC%83o%20de%20proyectos%20de%20innovacio%CC%81n%20social%20de%20alto%20impacto%20-%20Escuela%20de%20Gesti%C3%B3n%20P%C3%BAblica%20de%20la%20UP.pdf,https://www.up.edu.pe/egp/programas-especializacion_copy(1)/SiteAssets/Lists/Observatorio/AllItems/Teori%CC%81a%20del%20Cambio%2010%20Pasos%20Disen%CC%83o%20de%20proyectos%20de%20innovacio%CC%81n%20social%20de%20alto%20impacto%20-%20Escuela%20de%20Gesti%C3%B3n%20P%C3%BAblica%20de%20la%20UP.pdf,Guía peruana de 10 pasos para diseñar proyectos de innovación social de alto impacto usando ToC. Muy práctica para contexto latinoamericano.,"teoría del cambio, innovación social, Perú, gestión pública, 10 pasos",pendiente
23,Teoría de Cambio — Guía PNUD LAC 2016,PNUD / UNDG LAC Secretariat,ONU,Metodologia,Planificación programática,América Latina,2016,ES,Guía regional,Marco general,https://unsdg.un.org/sites/default/files/16.-2016-10-18-Guidance-on-ToC-PSG-LAC.pdf,https://unsdg.un.org/sites/default/files/16.-2016-10-18-Guidance-on-ToC-PSG-LAC.pdf,Guía de ToC del PNUD para América Latina y el Caribe. Adaptación del marco UNDAF al contexto regional latinoamericano.,"teoría del cambio, PNUD, América Latina, planificación, UNDAF",pendiente
24,A4NH CGIAR — Reference Document Phase II Theories of Change,CGIAR Research Program on Agriculture for Nutrition and Health (A4NH),Centro CGIAR,Nutricion / Seguridad alimentaria,Investigación agrícola para nutrición y salud,Global - Africa/Asia,2019,EN,Documento de programa,Programa específico,https://a4nh.cgiar.org/files/2019/02/Reference-document-for-A4NH-Theories-of-Change_2019-update.pdf,https://a4nh.cgiar.org/files/2019/02/Reference-document-for-A4NH-Theories-of-Change_2019-update.pdf,"Documento de referencia de ToCs para el programa A4NH Fase II. Presenta múltiples teorías del cambio para investigación en nutrición, salud y agricultura. Muy detallado con supuestos y evidencia.","theory of change, agriculture, nutrition, health, CGIAR, A4NH, food systems",pendiente
25,IFAD — Theory of Change for Gender Transformative Programming,IFAD (International Fund for Agricultural Development),ONU / Fondo,Nutricion / Seguridad alimentaria,"Género, nutrición y agricultura sostenible",Global,2021,EN,Nota técnica,Programa específico,https://www.ifad.org/en/w/publications/theory-of-change-for-gender-transformative-programming-for-food-security-nutrition-and-sustainable-agriculture,,"ToC de IFAD para programación transformadora de género en seguridad alimentaria, nutrición y agricultura sostenible. Integra análisis de género con cadenas de resultados.","theory of change, gender, food security, nutrition, agriculture, IFAD",pendiente
26,World Vision — Food and Livelihood Security Theory of Change,World Vision International,ONG Internacional,Nutricion / Seguridad alimentaria,Medios de vida y seguridad alimentaria,Global - Africa,2015,EN,Documento de programa,Programa específico,https://www.wvi.org/sites/default/files/Food%20and%20Livelihood%20Security%20Theory%20of%20Change_0.pdf,https://www.wvi.org/sites/default/files/Food%20and%20Livelihood%20Security%20Theory%20of%20Change_0.pdf,ToC de World Vision para seguridad alimentaria y medios de vida. Incluye cadena causal desde inputs hasta impacto en reducción de hambre.,"theory of change, food security, livelihoods, World Vision, hunger",pendiente
27,Mercy Corps — Food Security Approach: Resilient Solutions,Mercy Corps,ONG Internacional,Nutricion / Seguridad alimentaria,Soluciones resilientes a causas raíces,Global,2019,EN,Documento de enfoque,Marco general,https://www.mercycorps.org/sites/default/files/2019-11/FoodSecurityApproach.pdf,https://www.mercycorps.org/sites/default/files/2019-11/FoodSecurityApproach.pdf,Enfoque de Mercy Corps para seguridad alimentaria basado en resiliencia. Implica una ToC que conecta soluciones a causas raíces de inseguridad alimentaria.,"theory of change, food security, resilience, Mercy Corps, humanitarian",pendiente
28,Using Theory of Change in Agricultural Research for Food and Nutrition Security,Mayne & Johnson / CGIAR,Investigación,Nutricion / Seguridad alimentaria,Investigación para el desarrollo,Global,2015,EN,Paper académico,Marco general,https://www.a4nh.cgiar.org/files/2014/03/Mayne-and-Johnson-2015-for-Website.pdf,https://www.a4nh.cgiar.org/files/2014/03/Mayne-and-Johnson-2015-for-Website.pdf,Paper seminal de Mayne y Johnson sobre uso de ToC en investigación agrícola para seguridad alimentaria y nutrición. Muy citado en literatura de AR4D.,"theory of change, agricultural research, food security, nutrition, AR4D, Mayne",pendiente
29,Theory of Change for Community-Initiated Mental Health Care (US),Cambridge Core / Global Mental Health,Revista académica,Salud mental / Bienestar,Salud mental comunitaria,USA,2023,EN,Paper académico,Programa específico,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/BCE803CB8D1AC4E6AEA823BA0D0C1084/S2054425123000493a.pdf/theory_of_change_for_communityinitiated_mental_health_care_in_the_united_states.pdf,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/BCE803CB8D1AC4E6AEA823BA0D0C1084/S2054425123000493a.pdf/theory_of_change_for_communityinitiated_mental_health_care_in_the_united_states.pdf,"ToC co-desarrollada con 24 stakeholders para la iniciativa Community Initiated Care (CIC) en salud mental. Cubre organización comunitaria, cuidado e inclusión.","theory of change, mental health, community, CIC, USA, stakeholders",pendiente
30,Mental Health and Psychosocial Support — Approach and Theory of Change,DFID / UK Government,Gobierno UK,Salud mental / Bienestar,Apoyo psicosocial en contextos frágiles,Global - Africa/Asia,2020,EN,Documento de política,Marco general,https://assets.publishing.service.gov.uk/media/5f3d0672e90e0732dbca7b82/Mental-Health-Psychosocial-Support.pdf,https://assets.publishing.service.gov.uk/media/5f3d0672e90e0732dbca7b82/Mental-Health-Psychosocial-Support.pdf,Marco de DFID/FCDO para salud mental y apoyo psicosocial en contextos de desarrollo. Incluye ToC integrada con análisis de sistemas de salud.,"theory of change, mental health, psychosocial, DFID, FCDO, fragile states",pendiente
31,Wheel of Wellbeing (WoW) Theory of Change — SLaM,McPin Foundation / South London and Maudsley NHS,NHS / Think tank,Salud mental / Bienestar,Bienestar comunitario,UK,2023,EN,Reporte de proyecto,Programa específico,https://mcpin.org/wp-content/uploads/2023/02/Resource-Project-report-SLaM-WoW-ToC.pdf,https://mcpin.org/wp-content/uploads/2023/02/Resource-Project-report-SLaM-WoW-ToC.pdf,ToC para el Wheel of Wellbeing (WoW) del NHS. Programa de bienestar comunitario derivado del Well London Programme. Conecta actividades de wellbeing con resultados de salud mental.,"theory of change, wellbeing, mental health, NHS, community, UK, WoW",pendiente
32,Theory of Change for Community Wellbeing,What Works Wellbeing,Think tank UK,Salud mental / Bienestar,Bienestar comunitario,UK,2020,EN,Reporte,Marco general,https://whatworkswellbeing.org/blog/a-theory-of-change-for-community-wellbeing-a-new-call-for-evidence/,,ToC para bienestar comunitario. Proceso cíclico de 6 etapas para mejorar bienestar individual y comunitario. Conecta con evidencia del What Works Centre for Wellbeing.,"theory of change, community wellbeing, wellbeing, What Works, UK",pendiente
33,Using Theory of Change in Mental Health Innovation,MHIN (Mental Health Innovation Network),Red de innovación,Salud mental / Bienestar,Innovación en salud mental,Global,2015,EN,Guía práctica,Marco general,https://www.mhinnovation.net/sites/default/files/content/document/MHIN%20ToC%20guidelines_May_2015_0.pdf,https://www.mhinnovation.net/sites/default/files/content/document/MHIN%20ToC%20guidelines_May_2015_0.pdf,Guía de MHIN para usar ToC en programas de innovación en salud mental. Incluye pasos y ejemplos aplicados.,"theory of change, mental health, innovation, MHIN, guidelines",pendiente
34,Theory of Change for Complex Mental Health Interventions — 10 Lessons from PRIME,Semrau et al. / BJPsych Open,Revista académica,Salud mental / Bienestar,Programas de salud mental en LMIC,Global Sur,2018,EN,Paper académico,Programa específico,https://www.researchgate.net/publication/326417156_Theory_of_change_for_complex_mental_health_interventions_10_lessons_from_the_programme_for_improving_mental_healthcare,,10 lecciones del programa PRIME (Programme for Improving Mental Healthcare) en países de bajos ingresos. Reflexiones sobre construcción de ToC en contextos complejos.,"theory of change, mental health, PRIME, LMIC, complexity, lessons learned",pendiente
35,UNICEF — Transitions from School to Work: Theory of Change,UNICEF Data / UNICEF Evaluation,ONU,Empleo / Juventud,Transición escuela-trabajo,Global,2019,EN,Scoping paper,Marco general,https://www.unicef.org/media/60366/file/Transitions-from-school-to-work-2019.pdf,https://www.unicef.org/media/60366/file/Transitions-from-school-to-work-2019.pdf,"ToC de UNICEF para la transición escuela-trabajo. 5 pilares: acceso a oportunidades, habilidades relevantes, calidad de formación, trabajo decente, fortalecimiento del ecosistema.","theory of change, school to work, youth employment, skills, UNICEF",pendiente
36,US Department of Education — Theory of Change,US Department of Education,Gobierno USA,Educacion,Programas educativos federales,USA,2019,EN,Guía de programa,Programa específico,https://www.ed.gov/sites/ed/files/2019/03/02-04-TheoryofChange.pdf,https://www.ed.gov/sites/ed/files/2019/03/02-04-TheoryofChange.pdf,ToC usada por el Departamento de Educación de USA para programas federales. Diferencia entre intervención propuesta y práctica actual. Marco de referencia para grantees.,"theory of change, education, federal programs, US Department of Education",pendiente
37,ACF — Building and Sustaining the Child Care and Early Education Workforce: Theory of Change Series,Administration for Children and Families (ACF),Gobierno USA,Infancia / Derechos,Fuerza laboral de cuidado infantil,USA,2022,EN,Serie de documentos,Programa específico,https://acf.gov/opre/report/building-and-sustaining-child-care-and-early-education-workforce-theory-change-series,,"Serie de ToC para tres tipos de estrategias de desarrollo laboral en cuidado infantil: suplementos salariales, modelos de aprendizaje y becas.","theory of change, child care, early education, workforce, ACF, USA",pendiente
38,Urban Institute — Changing Workforce Systems to Improve Outcomes for Young People of Color,Urban Institute,Think tank USA,Empleo / Juventud,Sistemas laborales para jóvenes de color,USA,2018,EN,Reporte de investigación,Programa específico,https://www.urban.org/sites/default/files/publication/88296/changing_workforce_systems.pdf,https://www.urban.org/sites/default/files/publication/88296/changing_workforce_systems.pdf,Reporte Urban Institute sobre cambio de sistemas laborales para mejorar resultados de jóvenes de color. Incluye ToC implícita y explícita sobre cambio sistémico.,"theory of change, workforce development, youth, equity, Urban Institute",pendiente
39,YouthBuild — Work-Based Learning: Connecting Opportunity Youth and Employers,YouthBuild USA,ONG USA,Empleo / Juventud,Aprendizaje basado en trabajo,USA,2020,EN,Reporte,Programa específico,https://youthbuild.org/wp-content/uploads/2020/11/Work-based-Learning_YouthBuild-USA-Nov-2020.pdf,https://youthbuild.org/wp-content/uploads/2020/11/Work-based-Learning_YouthBuild-USA-Nov-2020.pdf,ToC de YouthBuild para conectar jóvenes en situación vulnerable con empleadores mediante aprendizaje basado en trabajo. Énfasis en relaciones y combinación teoría-práctica.,"theory of change, work-based learning, youth, opportunity youth, YouthBuild",pendiente
40,Habitat for Humanity — Climate Adaptation Through Housing,Habitat for Humanity International / IIED,ONG Internacional,Vivienda / Personas sin hogar,Adaptación climática en asentamientos informales,Global Sur,2023,EN,Reporte de investigación,Programa específico,https://www.habitat.org/sites/default/files/documents/climate-adaptation-through-housing-report.pdf,https://www.habitat.org/sites/default/files/documents/climate-adaptation-through-housing-report.pdf,"Estudio sobre retornos sociales de abordar vivienda informal + adaptación climática. Alianzas público-privadas, ONG y comunidades locales. Contiene ToC implícita.","theory of change, housing, climate adaptation, informal settlements, Habitat for Humanity",pendiente
41,Urban Institute — Climate-Resilient Affordable Housing,Urban Institute,Think tank USA,Vivienda / Personas sin hogar,Vivienda asequible resiliente al clima,USA,2024,EN,Reporte,Programa específico,https://www.urban.org/sites/default/files/2024-01/Preserving_Protecting_and_Building_Climate-Resilient_Affordable_Housing.pdf,https://www.urban.org/sites/default/files/2024-01/Preserving_Protecting_and_Building_Climate-Resilient_Affordable_Housing.pdf,"Reporte sobre preservar, proteger y construir vivienda asequible resiliente al clima. Incluye ToC sobre cómo la resiliencia climática se integra a la política de vivienda.","theory of change, housing, climate resilience, affordable housing, Urban Institute, 2024",pendiente
42,SROI Guide with Impact Map — Worked Example,Social Value UK (formerly SROI Network),Red profesional,SROI / Valoracion social,Metodología SROI,UK,2012,EN,Guía metodológica,Marco general,https://socialvalueuk.org/resources/sroi-guide-impact-map-worked-example/,,Guía SROI de Social Value UK con ejemplo completo de Impact Map / Theory of Change. Base metodológica para el análisis SROI. Incluye todas las etapas y factores de ajuste.,"SROI, impact map, theory of change, Social Value UK, methodology",pendiente
43,A Guide to Social Return on Investment,NEF / SROI Network,Red profesional / Think tank,SROI / Valoracion social,Metodología SROI,UK,2012,EN,Guía oficial SVI,Marco general,https://new-economicsf.files.svdcdn.com/production/files/aff3779953c5b88d53_cpm6v3v71.pdf,https://new-economicsf.files.svdcdn.com/production/files/aff3779953c5b88d53_cpm6v3v71.pdf,"La guía oficial SROI de 108 páginas. Incluye Impact Map como ToC operacional del SROI, los 8 principios SVI y las 6 etapas con ejemplos.","SROI, theory of change, impact map, SVI, NEF, guide",pendiente
44,UNDP SROI Methodology — EECA Region,UNDP Eurasia,ONU,SROI / Valoracion social,SROI aplicado a proyectos VIH,Europa del Este / Asia Central,2014,EN,Apéndice metodológico,Programa específico,https://www.undp.org/sites/g/files/zskgke326/files/migration/eurasia/Appendix-SROI-methodology_ENG.pdf,https://www.undp.org/sites/g/files/zskgke326/files/migration/eurasia/Appendix-SROI-methodology_ENG.pdf,Apéndice metodológico SROI del PNUD para la región EECA. Incluye ToC aplicada a proyectos relacionados con VIH. Ejemplo de ToC en contexto de salud pública.,"SROI, theory of change, UNDP, HIV, EECA, methodology",pendiente
45,Using Theory of Change for Impact Evaluation — Patricia Rogers (BetterEvaluation/3ie),BetterEvaluation / UNICEF / 3ie,Red de conocimiento,Metodologia,Evaluación de impacto,Global,2015,EN,Presentación / Paper,Marco general,https://www.betterevaluation.org/sites/default/files/2022-03/3.%20UNICEF%20Impact%20Webinar%20-%20Theory%20of%20Change%20-%20Rogers%202015.pdf,https://www.betterevaluation.org/sites/default/files/2022-03/3.%20UNICEF%20Impact%20Webinar%20-%20Theory%20of%20Change%20-%20Rogers%202015.pdf,Presentación de Patricia Rogers (BetterEvaluation/3ie) sobre uso de ToC en evaluación de impacto. Muy influyente en campo de M&E. Co-publicada con UNICEF y 3ie.,"theory of change, impact evaluation, Patricia Rogers, BetterEvaluation, 3ie",pendiente
46,Interrogating the Theory of Change: Evaluating Impact Investing,BetterEvaluation,Think tank,SROI / Valoracion social,Inversión de impacto,Global,2019,EN,Recurso de evaluación,Marco general,https://www.betterevaluation.org/tools-resources/interrogating-theory-change-evaluating-impact-investing-where-it-matters-most,,Recurso de BetterEvaluation sobre cómo interrogar la ToC en inversión de impacto. Útil para SROI y CBA en contexto de impact investing.,"theory of change, impact investing, evaluation, BetterEvaluation",pendiente
47,Theory of Change for Anti-Corruption Portfolio (2016-21),BetterEvaluation (example),Think tank,Gobernanza,Portafolio anticorrupción,Global,2021,EN,Ejemplo de ToC,Portafolio / Sistema,https://www.betterevaluation.org/tools-resources/theory-change-example-for-grant-portfolios,,"Ejemplo de ToC desarrollado para un portafolio anticorrupción 2016-2021. Muestra cómo aplicar ToC a nivel de portafolio, no solo de proyecto individual.","theory of change, anti-corruption, portfolio, grant, BetterEvaluation",pendiente
48,Teoría del Programa y Teoría del Cambio en Evaluación para el Desarrollo,Astorga & Ruano / Revista Iberoamericana,Academia,Metodologia,Evaluación para el desarrollo,América Latina,2018,ES,Paper académico,Marco general,https://www.researchgate.net/publication/324762298_Teoria_del_Programa_y_Teoria_del_Cambio_en_la_Evaluacion_para_el_Desarrollo_Una_revision_teorico-practica,,Revisión teórico-práctica sobre diferencias y complementariedades entre Teoría del Programa y Teoría del Cambio. Muy relevante para contexto latinoamericano.,"teoría del cambio, teoría del programa, evaluación, América Latina, academia",pendiente
49,Teoría de Cambio — Marco para abordar el cambio social,Galvalisi / UDELAR,Universidad,Metodologia,Cambio social,Uruguay,2019,ES,Tesis/Paper,Marco general,https://www.colibri.udelar.edu.uy/jspui/bitstream/20.500.12008/23300/1/TCP_GalvalisiDiego.pdf,https://www.colibri.udelar.edu.uy/jspui/bitstream/20.500.12008/23300/1/TCP_GalvalisiDiego.pdf,Análisis de ToC como marco para abordar el cambio social desde la Universidad de la República (Uruguay). Perspectiva crítica latinoamericana.,"teoría del cambio, cambio social, Uruguay, UDELAR, academia",pendiente
